GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calcwebapp Maven Webapp,com.cruds.service,CalculatorService,7,4,0,0,2,1,2,1,2,1
calcwebapp Maven Webapp,com.cruds.servlet,CalculatorServlet,49,0,4,0,15,0,5,0,3,0
